ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,Intensity_MeanIntensity_C0,Intensity_MeanIntensity_C1,Intensity_MeanIntensity_C2,Intensity_MeanIntensity_C3,Intensity_MeanIntensity_C4,Intensity_MedianIntensity_C0,Intensity_MedianIntensity_C1,Intensity_MedianIntensity_C2,Intensity_MedianIntensity_C3,Intensity_MedianIntensity_C4,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Objects_frame_edge_filtered,TrackObjects_Label_1,TrackObjects_Lifetime_1,TrackObjects_ParentImageNumber_1,TrackObjects_ParentObjectNumber_1
1,1,324,269.6604938,265.3703704,0.053231665,0.666787716,0.067368678,0.093766645,0.443572991,0.050980393,0.650980413,0.062745102,0.086274512,0.443137258,269.6604938,265.3703704,0,1,1,nan,1,0,0
1,2,236,392.559322,498.1567797,0.670970433,0.249002998,0.070555004,0.796095053,0.473296783,0.737254918,0.254901975,0.06666667,1,0.466666669,392.559322,498.1567797,0,2,2,nan,1,0,0
1,3,401,315.5361596,224.6932668,0.065962546,0.789408843,0.066549315,0.118634789,0.421319256,0.06666667,0.796078444,0.05882353,0.109803922,0.423529416,315.5361596,224.6932668,0,3,3,3,1,0,0
1,4,525,265.4380952,215.76,0.028817928,0.698943058,0.073800189,0.047985062,0.407626524,0.027450981,0.690196097,0.06666667,0.043137256,0.403921574,265.4380952,215.76,0,4,4,nan,1,0,0
1,5,791,284.2945638,188.6864728,0.030381003,0.788185729,0.066770781,0.040068418,0.425324117,0.027450981,0.784313738,0.054901961,0.035294119,0.423529416,284.2945638,188.6864728,0,5,5,nan,1,0,0
1,6,330,290.1454545,232.0454545,0.045109924,0.613083795,0.078764114,0.06922163,0.39450981,0.043137256,0.588235319,0.074509807,0.06666667,0.396078438,290.1454545,232.0454545,0,6,6,nan,1,0,0
1,7,323,243.1609907,215.5696594,0.019959935,0.821307605,0.070041889,0.037649488,0.428397991,0.019607844,0.831372559,0.062745102,0.035294119,0.435294122,243.1609907,215.5696594,0,7,7,nan,1,0,0
2,1,419,289.8735084,187.9045346,0.062033789,0.808133288,0.077420565,0.065403156,0.421189579,0.05882353,0.815686285,0.062745102,0.05882353,0.423529416,289.8735084,187.9045346,0,1,1,nan,2,1,5
2,2,366,268.704918,217.3606557,0.056948464,0.495114123,0.094042647,0.074606238,0.41056467,0.050980393,0.466666669,0.086274512,0.074509807,0.411764711,268.704918,217.3606557,0,2,2,nan,2,1,4
2,3,231,269.5454545,265.7965368,0.133231478,0.447024882,0.080859012,0.217808341,0.441490541,0.13333334,0.429411769,0.074509807,0.20784314,0.43921569,269.5454545,265.7965368,0,3,3,nan,2,1,1
