TrackObjects_Label_1,TE_ICM,Segmentation
7,ICM,UNDER
33,ICM,
62,ICM,
114,ICM,
118,ICM,
188,ICM,
198,ICM,UNDER
200,ICM,
213,ICM,
226,ICM,UNDER
232,ICM,UNDER
262,ICM,UNDER
263,ICM,UNDER
279,ICM,
301,ICM,
303,ICM,
307,ICM,
321,ICM,UNDER
324,ICM,UNDER
332,ICM,UNDER
333,ICM,UNDER
352,ICM,
354,ICM,
378,ICM,
