TrackObjects_Label_1,DAPI,NANOG,GATA4,GATA3,BF,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,NANOG_Cor,GATA4_Cor,GATA3_Cor,BF_Cor,Treatment,batch
43,27.68313210849333,12.302963816964171,12.635181324965044,9.127470255594027,22.94377538477443,345.6943082101624,164.6490615372575,49.5,14,4282,Control_1_220318,ICM,4.105691921692131,3.2093612944467615,2.729452906193262,2.9388891899319187,3.124814434240722,Control,Batch 1
60,13.464064310779397,6.248008168924379,16.643712991097527,0.9894304974480459,16.382281462917636,361.7177957396959,149.95802916327185,60.5,12,3261,Control_1_220318,ICM,3.5593111426566244,2.6872390244042075,3.047878433107874,0.878751555663087,2.7861395021214217,Control,Batch 1
62,29.95879749996615,84.60886966660931,1.9681567603708099,1.986460940985375,21.263075686268373,385.80649378334095,208.4784723963,62.5,10,2791,Control_1_220318,ICM,4.390817559453411,5.321263735263753,0.9207844952519961,1.6050787843272065,3.0465769894585484,Control,Batch 1
81,12.506582088433005,5.60261569860397,2.7003328457719107,0.4729313968887948,22.39153587519986,401.54464306306977,213.2761386116093,81,19,6306,Control_1_220318,ICM,3.810587664463083,2.8679090173695023,1.3091646371636956,0.4420077445101068,3.095209419799999,Control,Batch 1
83,10.556452873021822,49.34037961021443,1.8310998691445892,1.2188277493851547,20.507270308650806,389.6045772560283,171.5428512503459,79.5,14,4053,Control_1_220318,ICM,3.6172875996055556,5.02220505977032,0.9148767122516023,1.3665246658846537,3.0075558717849096,Control,Batch 1
91,6.684584435160927,37.088412792551374,1.70090117055022,0.7496462332587286,19.364826483938817,386.48008360151874,155.99075750947762,83.35714285714286,13,3558,Control_1_220318,ICM,3.221518125715446,4.791275025970035,0.8561581319910672,0.9372279002255732,2.9495932267263933,Control,Batch 1
1,51.676662785773175,12.220478445084671,2.140778891692931,40.84644629303123,22.537673642877287,192.0596858842962,270.61845276773056,3,5,3158,Control_1_220318,TE,3.992575795544539,2.5455160141472826,0.7729109811718534,3.7539186145875956,3.114693542314087,Control,Batch 1
2,93.79618253817598,22.794777965672232,3.1351406865059035,62.067751788792854,23.096863176407957,149.32876970597937,207.62454731449574,4.5,8,4368,Control_1_220318,TE,4.61247658987711,3.1901279484830027,1.1602477542403924,4.194372684723062,3.1389523629440355,Control,Batch 1
3,73.93114249496703,18.338058573165267,2.7826114016711556,60.91840459426492,22.43719695410783,250.42995212801486,287.2520231087851,3.5,6,2351,Control_1_220318,TE,4.358631013028919,2.958444570025834,1.0370694060229217,4.160982714098424,3.110142231028747,Control,Batch 1
4,74.69703540914432,19.089823401984553,2.609253261452277,65.6854744114353,22.952659720747693,263.60865522217034,338.8844268965088,5.5,10,5006,Control_1_220318,TE,4.400648969115211,3.026884288847788,0.9805423869787686,4.2657226291884065,3.132523000893412,Control,Batch 1
6,78.33403986361279,17.81761000726874,2.8068142520811095,62.255598171313956,22.727156613746743,442.0764871171769,104.10239499526273,3.5,6,3085,Control_1_220318,TE,4.416479028784963,2.92965342008892,1.0457293783241044,4.182695801457852,3.122982550288771,Control,Batch 1
7,94.09756410859625,27.709929767396186,3.261719814326622,91.32346686146332,23.30403720896282,222.6104211274361,190.0730465502229,7,9,4927,Control_1_220318,TE,4.655324237244035,3.4207154595042377,1.2095725234783927,4.617300346655955,3.147466135866289,Control,Batch 1
